Symbol,Type,Entry Time,Exit Time,Entry Price,Exit Price,Offset,Size,PnL,Commission,Funding,Reason
STOUSDT,SHORT,"2/20/2026, 1:25:00 PM","2/20/2026, 1:30:00 PM",0.05493,0.0545628,0.0001,727,0.2431541066399986,0.04376734336,0,"Trailing Stop"
STOUSDT,SHORT,"2/20/2026, 1:15:00 PM","2/20/2026, 1:25:00 PM",0.05469,0.05463,0.0001,731,0.01989928200000329,0.043949907999999996,0,"Trailing Stop"
STOUSDT,SHORT,"2/20/2026, 1:10:00 PM","2/20/2026, 1:15:00 PM",0.0546719699042,0.05463,0.0001,731,0.006719281970201763,0.043943317999999995,0,"Trailing Stop"
STOUSDT,SHORT,"2/20/2026, 1:00:00 PM","2/20/2026, 1:10:00 PM",0.0549,0.05471,0.0001,728,0.1144226719999969,0.043880928,0,"Trailing Stop"
STOUSDT,SHORT,"2/20/2026, 11:35:00 AM","2/20/2026, 1:00:00 PM",0.0549491758242,0.05489,0.0001,728,0.019104048017601093,0.043977442000000005,0.00200029,"Trailing Stop"
STOUSDT,SHORT,"2/20/2026, 11:15:00 AM","2/20/2026, 11:35:00 AM",0.05506,0.05494,0.0001,726,0.06318813599999645,0.04391864399999999,0,"Trailing Stop"
STOUSDT,SHORT,"2/20/2026, 10:55:00 AM","2/20/2026, 11:15:00 AM",0.05519,0.0550813,0.0001,724,0.054771483280002344,0.043906076720000006,0,"Trailing Stop"
STOUSDT,SHORT,"2/20/2026, 10:35:00 AM","2/20/2026, 10:55:00 AM",0.0552926279391,0.0551,0.0001,723,0.11536761996929995,0.04389066,0,"Trailing Stop"
STOUSDT,SHORT,"2/20/2026, 10:30:00 AM","2/20/2026, 10:35:00 AM",0.05586,0.0558078,0.0001,715,0.013381453800001608,0.0439114962,0,"Trailing Stop"
STOUSDT,SHORT,"2/20/2026, 10:15:00 AM","2/20/2026, 10:30:00 AM",0.05599,0.05589,0.0001,714,0.04745672399999709,0.043931706,0,"Trailing Stop"
STOUSDT,SHORT,"2/20/2026, 10:05:00 AM","2/20/2026, 10:15:00 AM",0.0568,0.05639,0.0001,704,0.26482086400000043,0.043812736,0,"Trailing Stop"
